Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Characterization	UniProt
EG10780	b1308	1369689	1370003	EG10780-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P23857'>P23857</a>
EG11503	b0195	218887	219594	EG11503-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P28634'>P28634</a>
EG10371	b2904	3049160	3049549	LIPOYL-GCVH // GCVH-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P0A6T9'>P0A6T9</a>
EG11621	b0199	221614	222645	ABC-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P30750'>P30750</a>
EG12268	b3547	3710799	3712007	YHJX-MONOMER	PARTIAL	<a href='https://www.uniprot.org/uniprot/P37662'>P37662</a>
EG12041	b2180	2276300	2277889	YEJF-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P33916'>P33916</a>
EG10057	b1901	1985139	1986128	ARAF-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P02924'>P02924</a>
G6188	b0323	340165	341115	G6188-MONOMER	UNCHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P77624'>P77624</a>
G0-10610	b4625	4579835	4579911	RNA0-334	WELL-CHARACTERIZED	
EG11892	b2009	2080789	2081262	EG11892-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P33012'>P33012</a>
EG11623	b2797	2929576	2930943	LSERINEDEAM2-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P30744'>P30744</a>
EG11127	b1259	1315856	1316035	EG11127-MONOMER	PARTIAL	<a href='https://www.uniprot.org/uniprot/P21361'>P21361</a>
EG10814	b3749	3933778	3935283	RBSA-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P04983'>P04983</a>
EG11257	b0385	403703	404818	EG11257-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P0AAP1'>P0AAP1</a>
EG12446	b2602	2741360	2741725	EG12446-MONOMER	UNCHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P11289'>P11289</a>
EG10727	b0383	401747	403162	ALKAPHOSPHA-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P00634'>P00634</a>
G6885	b1645	1722121	1724133	G6885-MONOMER	PARTIAL	<a href='https://www.uniprot.org/uniprot/P76186'>P76186</a>
EG10966	b3650	3822400	3824508	SPOT-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P0AG24'>P0AG24</a>
G0-16689	b4724	1638256	1638444	MONOMER0-4394	UNCHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P0DPC9'>P0DPC9</a>
EG12352	b3775	3959532	3959813	EG12352-MONOMER	PARTIAL	<a href='https://www.uniprot.org/uniprot/P0A9L5'>P0A9L5</a>
G0-10439	b4513	728732	728821	MONOMER0-12	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P36937'>P36937</a>
EG11265	b0910	961201	961884	CMPKI-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P0A6I0'>P0A6I0</a>
EG11283	b4583	4322443	4323281	PHNE-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P0DP69'>P0DP69</a>
EG10257	b1851	1932793	1934604	PGLUCONDEHYDRAT-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P0ADF6'>P0ADF6</a>
EG10379	b3430	3568033	3569328	GLUC1PADENYLTRANS-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P0A6V1'>P0A6V1</a>
G6810	b1524	1612325	1613251	G6810-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P0A6W0'>P0A6W0</a>
G0-16673	b4672	1346796	1346900	MONOMER0-4368	UNCHARACTERIZED	<a href='https://www.uniprot.org/uniprot/C1P5Z9'>C1P5Z9</a>
EG11615	b4113	4333282	4333950	PHOSPHO-BASR // BASR-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P30843'>P30843</a>
EG10769	b0386	404835	405644	PYRROLINECARBREDUCT-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P0A9L8'>P0A9L8</a>
G7095	b2044	2115907	2117127	G7095-MONOMER	PARTIAL	<a href='https://www.uniprot.org/uniprot/P71243'>P71243</a>
EG11958	b4086	4308489	4309469	YJCV-MONOMER	WELL-CHARACTERIZED	<a href='https://www.uniprot.org/uniprot/P32720'>P32720</a>
